open_time,close_time,ticker,strike,btc_price,entry_price,exit_price,model_prob,gap_at_entry,resolved_yes,pnl,pnl_pct,profitable,exit_type,cumulative_pnl,cumulative_return,gap_bucket
2025-09-07 20:00:00+00:00,2025-09-08 21:00:00+00:00,KXBTCD-25SEP0817-T110999.99,110999.99,111294.6953125,0.48166666666666663,0.9483333333333333,0.6100760698318481,0.0765774474025826,1,51.83333333333333,51.83333333333333,1,resolution,51.83333333333333,0.5183333333333333,5-8pp
2025-09-10 20:00:00+00:00,2025-09-11 21:00:00+00:00,KXBTCD-25SEP1117-T113249.99,113249.99,113643.0859375,0.565,0.9483333333333333,0.6741446256637573,0.024698350362683974,1,43.50000000000001,43.50000000000001,1,resolution,95.33333333333334,0.9533333333333335,2-5pp
2025-09-16 20:00:00+00:00,2025-09-17 21:00:00+00:00,KXBTCD-25SEP1717-T116499.99,116499.99,116908.7734375,0.595,0.024999999999999998,0.8011850714683533,0.02684338015801213,0,-59.5,-59.5,0,resolution,35.83333333333334,0.35833333333333345,2-5pp
2025-09-17 20:00:00+00:00,2025-09-18 21:00:00+00:00,KXBTCD-25SEP1817-T117249.99,117249.99,115626.7265625,0.5816666666666667,0.008333333333333307,0.58563232421875,-0.30601864069497964,1,-58.166666666666664,-58.166666666666664,0,resolution,-22.33333333333332,-0.22333333333333322,
2025-09-17 20:00:00+00:00,2025-09-18 21:00:00+00:00,KXBTCD-25SEP1817-T117749.99,117749.99,115626.7265625,0.5083333333333334,0.9816666666666667,0.7766421437263489,-0.4362510553641403,0,49.16666666666666,49.16666666666666,1,resolution,26.833333333333336,0.26833333333333337,
2025-09-30 20:00:00+00:00,2025-10-01 21:00:00+00:00,KXBTCD-25OCT0117-T113999.99,113999.99,114633.03125,0.545,0.9650000000000001,0.5580657124519348,0.09845188770115043,1,45.49999999999999,45.49999999999999,1,resolution,72.33333333333333,0.7233333333333333,8-12pp
2025-10-06 20:00:00+00:00,2025-10-07 21:00:00+00:00,KXBTCD-25OCT0717-T125249.99,125249.99,125251.1875,0.5116666666666667,0.03166666666666667,0.5708099603652954,-0.006436173912184429,0,-51.16666666666667,-51.16666666666667,0,resolution,21.166666666666657,0.21166666666666656,
2025-10-07 20:00:00+00:00,2025-10-08 21:00:00+00:00,KXBTCD-25OCT0817-T121749.99,121749.99,122153.09375,0.5483333333333333,0.8749999999999999,0.6849250793457031,0.031326143398620165,1,45.166666666666664,45.166666666666664,1,resolution,66.33333333333331,0.6633333333333331,2-5pp
2025-10-08 20:00:00+00:00,2025-10-09 21:00:00+00:00,KXBTCD-25OCT0917-T121999.99,121999.99,123054.9375,0.5283333333333333,0.018333333333333333,0.6595788598060608,0.16314626207544314,0,-52.83333333333333,-52.83333333333333,0,resolution,13.499999999999986,0.13499999999999987,12-20pp
2025-10-18 20:00:00+00:00,2025-10-19 21:00:00+00:00,KXBTCD-25OCT1917-T108249.99,108249.99,107101.7578125,0.5616666666666666,0.11166666666666669,0.7031462788581848,-0.12188900888531018,1,-56.166666666666664,-56.166666666666664,0,resolution,-42.66666666666668,-0.4266666666666668,
2025-10-18 20:00:00+00:00,2025-10-19 21:00:00+00:00,KXBTCD-25OCT1917-T109249.99,109249.99,107101.7578125,0.5783333333333333,0.9783333333333333,0.8794698119163513,-0.23273015859598561,0,42.16666666666667,42.16666666666667,1,resolution,-0.5000000000000071,-0.005000000000000071,
2025-10-18 20:00:00+00:00,2025-10-19 21:00:00+00:00,KXBTCD-25OCT1917-T107749.99,107749.99,107101.7578125,0.5616666666666666,0.08166666666666655,0.7028371095657349,-0.04681443870383212,1,-56.166666666666664,-56.166666666666664,0,resolution,-56.66666666666667,-0.5666666666666668,
2025-10-19 20:00:00+00:00,2025-10-20 21:00:00+00:00,KXBTCD-25OCT2017-T107749.99,107749.99,108923.40625,0.625,0.9283333333333332,0.807391881942749,0.07006135188092821,1,37.5,37.5,1,resolution,-19.16666666666667,-0.1916666666666667,5-8pp
2025-10-20 20:00:00+00:00,2025-10-21 21:00:00+00:00,KXBTCD-25OCT2117-T107499.99,107499.99,111036.640625,0.5916666666666667,0.6950000000000001,0.7082962393760681,0.3432926744805861,1,40.833333333333336,40.833333333333336,1,resolution,21.666666666666664,0.21666666666666665,20pp+
2025-10-20 20:00:00+00:00,2025-10-21 21:00:00+00:00,KXBTCD-25OCT2117-T109999.99,109999.99,111036.640625,0.455,0.9783333333333334,0.6681118607521057,0.21551576121422006,1,54.49999999999999,54.49999999999999,1,resolution,76.16666666666666,0.7616666666666666,20pp+
2025-10-20 20:00:00+00:00,2025-10-21 21:00:00+00:00,KXBTCD-25OCT2117-T109499.99,109499.99,111036.640625,0.47833333333333333,0.9583333333333333,0.6892898678779602,0.26402762773421035,1,52.16666666666667,52.16666666666667,1,resolution,128.33333333333331,1.2833333333333332,20pp+
2025-10-20 20:00:00+00:00,2025-10-21 21:00:00+00:00,KXBTCD-25OCT2117-T108499.99,108499.99,111036.640625,0.5116666666666667,0.9583333333333333,0.5913090109825134,0.34725981725662336,1,48.83333333333333,48.83333333333333,1,resolution,177.16666666666663,1.7716666666666663,20pp+
2025-10-20 20:00:00+00:00,2025-10-21 21:00:00+00:00,KXBTCD-25OCT2117-T107999.99,107999.99,111036.640625,0.5483333333333333,0.9483333333333333,0.6962616443634033,0.35354578162947514,1,45.166666666666664,45.166666666666664,1,resolution,222.3333333333333,2.2233333333333327,20pp+
2025-10-21 20:00:00+00:00,2025-10-22 21:00:00+00:00,KXBTCD-25OCT2217-T107999.99,107999.99,110983.859375,0.5883333333333334,0.008333333333333335,0.6741981506347656,0.26997753506743616,0,-58.833333333333336,-58.833333333333336,0,resolution,163.49999999999994,1.6349999999999993,20pp+
2025-10-21 20:00:00+00:00,2025-10-22 21:00:00+00:00,KXBTCD-25OCT2217-T109999.99,109999.99,110983.859375,0.49833333333333335,0.08166666666666667,0.5706639885902405,0.14098218459650996,0,-49.833333333333336,-49.833333333333336,0,resolution,113.6666666666666,1.136666666666666,12-20pp
2025-10-27 20:00:00+00:00,2025-10-28 21:00:00+00:00,KXBTCD-25OCT2817-T114249.99,114249.99,114515.8828125,0.545,0.008333333333333335,0.6156414747238159,0.0006655853190372651,0,-54.50000000000001,-54.50000000000001,0,resolution,59.16666666666659,0.5916666666666659,2-5pp
2025-10-27 20:00:00+00:00,2025-10-28 21:00:00+00:00,KXBTCD-25OCT2817-T113749.99,113749.99,114515.8828125,0.575,0.015,0.6345632076263428,0.0459154507131081,0,-57.49999999999999,-57.49999999999999,0,resolution,1.6666666666666003,0.016666666666666004,2-5pp
2025-11-05 21:00:00+00:00,2025-11-06 22:00:00+00:00,KXBTCD-25NOV0617-T103749.99,103749.99,103672.265625,0.5850000000000001,0.9249999999999999,0.6715667843818665,0.0688910131186461,0,41.49999999999999,41.49999999999999,1,resolution,43.16666666666659,0.4316666666666659,5-8pp
2025-11-11 21:00:00+00:00,2025-11-12 22:00:00+00:00,KXBTCD-25NOV1217-T103249.99,103249.99,102681.2265625,0.5183333333333334,0.9416666666666667,0.5920815467834473,-0.0876416115100066,0,48.16666666666666,48.16666666666666,1,resolution,91.33333333333326,0.9133333333333326,
